"year","variable","Coverage","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker"
1992,"BvB",0.854280510018215,1.12819132724515,1.10764524755883,1.14911852298953,1.13928401914336,0.00897959183673469,0.615165441176471,1.08355718197272,1.79759431815934,3.529
1993,"BvB",0.872495446265938,1.06560140163362,1.04753775100858,1.083976540292,1.07108574508545,0,0.610656708259771,1.057794,1.75070154479518,3.45045024062577
1994,"BvB",0.879781420765027,1.04218381002728,1.02511985351061,1.05953181002532,1.04714554681344,0.00314,0.558812942262332,1.08192569002123,1.7732501010101,3.55722954593011
1995,"BvB",0.896174863387978,1.0353785529251,1.01971168839403,1.05128612338024,1.03676708750197,0.00355,0.577301686643648,1.06025809028131,1.68226594269123,3.322
1996,"BvB",0.903460837887067,1.03082868364127,1.01587146731361,1.04600612302615,1.02798810254099,0.00355,0.5545703125,1.05205073546922,1.66,3.308575
1997,"BvB",0.912568306010929,1.00855662687132,0.99468746042476,1.02261917444067,1.00587773563568,0.00512,0.536538461538462,1.01974129243342,1.59957851711414,3.17513409961686
1998,"BvB",0.930783242258652,1.00376118373793,0.991538696809954,1.0161343346664,1.0019936594431,0.00487,0.542447409596865,0.991,1.56467420390688,3.07422046552481
1999,"BvB",0.939890710382514,0.994334060159953,0.983089735063703,1.00570699492667,0.992365569237044,0.00664,0.555548365701517,1.0130615552466,1.55252122653822,2.98119900673998
2000,"BvB",0.941712204007286,0.97665174419481,0.965802597190652,0.98762276288482,0.972174352565916,0.00229117820020315,0.521693393135456,1.02601370562882,1.53951644938789,3
2001,"BvB",0.943533697632058,0.986128338465709,0.975392207674974,0.996982641724349,0.982734152549624,0.00738,0.505564387917329,1.00310303365279,1.54617885498207,3.07998774134232
2002,"BvB",0.954462659380692,0.984166302029023,0.974573575146234,0.993853450114474,0.982739996105087,0.00339,0.514333333333334,0.970990438644078,1.62254510646843,3.1643909858564
2003,"BvB",0.958105646630237,0.98473510230481,0.975548425047347,0.994008289915697,0.985207457594304,0.00307,0.502807554874936,0.97249899959984,1.58762886597938,3.19858609045863
2004,"BvB",0.958105646630237,0.984467638839662,0.975297500099849,0.9937239989063,0.983396705784685,0.00347,0.512323580064768,0.949279651780968,1.589248434238,3.19440291424766
2005,"BvB",0.963570127504554,0.972883360130865,0.964436583361303,0.981404115883624,0.970665600477324,0.00263,0.5184165232358,0.957,1.61182840483132,3.17905460892553
2006,"BvB",0.961748633879781,0.987472021077892,0.978692153773022,0.996330652751715,0.990457249070804,0,0.529668089043359,0.981750428216434,1.54955370711839,3.07906686773886
2007,"BvB",0.95264116575592,1.00705394705031,0.997079869956108,1.01712779771017,1.01617936996082,0.0191188309268248,0.542197647058823,0.982647058823529,1.62101718275315,3.21074138937536
2008,"BvB",0.923497267759563,1.01723697756715,1.00438101210215,1.03025749796303,1.02649603510532,0.0225177342027048,0.546120986908232,1.019139086575,1.61453244740564,3.19234420306818
